music_name,total_midi_events,duration,num_unique_tracks,num_unique_channels,avg_note_pitch,std_note_pitch,min_note_pitch,max_note_pitch,pitch_range,avg_note_velocity,std_note_velocity,num_note_on_events,num_note_off_events,num_set_tempo_events,emotion_quadrant,note_density,note_on_proportion,std_time_diff_between_notes
Q1_0vLPYiPN7qY_0,-0.7134257307374127,-1.9038881409817934,0.0,0.0,0.6286810781122839,0.34196824381159024,0.1619619388063884,0.6510528366023584,0.33762771225414817,-0.09502682381287482,-0.07451364006627571,-0.6533332380277174,0.0,0.0,Q1,0.44276590739162597,0.5111318365543649,-0.2888070205303449
Q1_0vLPYiPN7qY_1,1.0358273747828708,0.006258879446975208,0.0,0.0,0.4055407916166413,-1.4591505063537433,0.1619619388063884,-0.8045329729877048,-0.6634156262101342,-0.8918560305857252,-0.9753253601855847,1.0621969787761179,0.0,0.0,Q1,1.0055945736813436,0.7678859476829466,-0.8782295637978367
Q1_0vLPYiPN7qY_2,0.6149544471388928,0.006258879446975208,0.0,0.0,0.5609991055462776,0.031951373715838186,-0.6969029875695841,0.04455874927316541,0.5044682686648618,-0.2251917995368851,-0.20209160381670735,0.5788531478512277,0.0,0.0,Q1,0.5712319602332925,0.24957689358727986,-0.6502752877987144
Q1_1Qc15G0ZHIg_1,0.20723379848378917,-0.12742654027704634,0.0,0.0,-0.4362910905418608,0.2533223441875473,-0.206123029640457,-0.5619353380560276,-0.24631423518334986,0.1199686379377858,0.07486218708865135,0.1363552744692861,0.0,0.0,Q1,0.22995283974135255,-0.23586483626035074,0.07659123997191952
Q1_1Qc15G0ZHIg_2,0.6609874235999529,0.0062588794469765644,0.0,0.0,-0.8258059478309627,0.1623031057083788,-0.819597977051866,-1.1684294253852205,-0.24631423518334986,0.5116063620287454,0.4721692208943645,0.5652378286702449,0.0,0.0,Q1,0.618740371079172,-0.13778579288297207,-0.6514069014155012
Q1_1Qc15G0ZHIg_3,0.02967803213398595,-0.9488146307674106,0.0,0.0,-0.6612551573273355,0.4080076660614847,-0.206123029640457,-0.3193377031243504,-0.07947367877263614,0.8627741175938894,0.829392790102481,0.05466335938338919,0.0,0.0,Q1,0.6370132447629098,0.48934574799175135,-0.5475367179799527
Q1_1vjy9oMFa8c_2,-0.6082074988264182,-0.9488146307674096,0.0,0.0,-1.5104104240311758,-0.08004351668049743,-0.9422929665341477,-0.8045329729877048,0.08736687763807757,0.24281098371266382,0.301758383445285,-0.5852566421228033,0.0,0.0,Q1,-0.2408183649065034,0.07540332820476384,-0.6334012240520819
Q1_1vjy9oMFa8c_4,-0.9172860550649645,-1.9038881409817947,0.0,0.0,-1.2943340328953457,0.050569982244150026,-0.9422929665341477,-0.44063652059018893,0.33762771225414817,0.9013307327412372,0.8750917587432168,-0.9188319620568823,0.0,0.0,Q1,0.021894908188705025,-0.7276939572901867,-0.6910413168647314
Q1_1vjy9oMFa8c_5,1.298872954560357,1.916405899875749,0.0,0.0,-0.9975653268536949,1.5249100285954578,-1.3103779349809932,0.6510528366023584,1.3386710507184305,0.8016413416711158,0.8111166380145968,1.1983501705859458,0.0,0.0,Q1,0.1706598619836409,0.11794177420528507,-0.7057487389524671
Q1_2Z9SjI131jA_0,0.22038607747266348,0.0062588794469765644,0.0,0.0,0.4310357314860595,-1.0128228593335644,1.2662168441469246,-0.8045329729877048,-1.414198130058346,-0.21539402406460048,-0.3093215877297217,0.16358591283125173,0.0,0.0,Q1,0.164017010125743,-0.11099428667492826,-0.5175916090534874
